Reservoir,Date,Elevation,Temp_C,pH,DO_mgL,Turb,Color,Odor,Algae_cells_mL,Fe_mgL,Mn_mgL,Alkalinity,Hardness,CO2,TOC,Notes,Predominant_algae_organism,Reservoir_level,Withdraw_levels,Flag
CCR,11/19/99 13:50,1160,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No information for elevation 1160,N/A,1152.1,30 and 48 ,
CCR,11/19/99 13:50,1150,11.8,7.8,8,5.93,58,50,"1,298,000",0.18,0.23,98,106,N/A,N/A,Brown/green water,N/A,1152.1,30 and 48 ,
CCR,11/19/99 13:50,1140,11.5,7.8,7.5,6.13,60,50,"2,574,000",0.19,0.24,96,104,N/A,N/A,Sunny and calm ,N/A,1152.1,30 and 48 ,
CCR,11/19/99 13:50,1130,11.5,7.7,6.7,5.88,63,50,"2,101,000",0.21,0.25,104,106,0.5,N/A,N/A,N/A,1152.1,30 and 48 ,
CCR,11/19/99 13:50,1120,11.4,7.8,6.3,5.33,54,50,"1,265,000",0.22,0.27,98,106,N/A,N/A,N/A,N/A,1152.1,30 and 48 ,
CCR,11/19/99 13:50,1110,11.4,7.8,5.2,4.45,52,50,"935,000",0.23,0.26,96,104,N/A,N/A,N/A,N/A,1152.1,30 and 48 ,
CCR,10/29/99 9:00,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No water,Anacystis,N/A,N/A,
CCR,10/29/99 9:00,1150,17,7.6,7.05,3.2,39,17,"2,387,000",0.1,0.23,94,104,1,N/A,No information for elevation 1160,Ulothrix,N/A,N/A,
CCR,10/29/99 9:00,1140,16,7.8,6.71,3,42,17,"3,542,000",0.1,0.23,90,104,0.6,N/A,No reservoir level,Asterionella ,N/A,N/A,
CCR,10/29/99 9:00,1130,16,7.8,6.66,3.3,40,17,"2,266,000",0.1,0.24,94,116,0.6,N/A,No withdrawal level,Micractinium,N/A,N/A,
CCR,10/29/99 9:00,1120,14,7.8,6.6,3.4,40,35,"1,650,000",0.12,0.36,94,102,1.5,N/A,N/A,N/A,N/A,N/A,
CCR,10/29/99 9:00,1110,14,7.7,4.4,4,45,30,"1,540,000",0.42,>0.77,104,106,1,N/A,N/A,N/A,N/A,N/A,
CCR,10/9/99 9:00,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cool,Anacystis ,1151.3,N/A,
