Date,Site,Volume_L,Time_sec,Rep,discharge_LperSec,discharge_perSite_LperSec,Discharge_Final_LperSec,Notes
2020-08-05 01:24:00,TCT,10,3,1,3.333333333,2.921122042,2.921122042,
2020-08-05 01:24:00,TCT,10,4,2,2.5,,,
2020-08-05 01:24:00,TCT,10,3.5,3,2.857142857,,,
2020-08-05 01:24:00,TCT,10,3.34,4,2.994011976,,,
2020-08-19 15:27:00,TCT_1,9,12.1,1,0.743801653,0.690163202,2.859900979,
2020-08-19 15:27:00,TCT_1,9,13.17,2,0.683371298,,,
2020-08-19 15:27:00,TCT_1,9,13.99,3,0.643316655,,,
2020-08-19 15:27:00,TCT_2,10,14.37,1,0.695894224,0.65638867,,removed one rep from 2nd opening because reported in wrong units
2020-08-19 15:27:00,TCT_2,9.5,15.4,2,0.616883117,,,
2020-08-19 15:27:00,TCT_3,9,5.65,1,1.592920354,1.513349107,,
2020-08-19 15:27:00,TCT_3,9,6.23,2,1.444622793,,,
2020-08-19 15:27:00,TCT_3,9,5.99,3,1.502504174,,,
2020-09-23 12:00:00,CCT_6,8.5,13.53,1,,,,
2020-09-23 12:00:00,CCT_6,8.5,13.73,2,,,,
2020-09-23 12:00:00,CCT_6,8.5,13.37,3,,,,
2020-09-23 12:00:00,CCT_5,1.3,23.07,1,,,,
2020-09-23 12:00:00,CCT_5,2.3,23.23,2,,,,
2020-09-23 12:00:00,CCT_5,3.3,19.28,3,,,,
2020-09-23 12:00:00,CCT_4,1.2,21.12,1,,,,
2020-09-23 12:00:00,CCT_4,2.2,22.17,2,,,,
2020-09-23 12:00:00,CCT_4,1.75,16.57,3,,,,
2020-09-23 12:00:00,CCT_3,2,14.74,1,,,,
2020-09-23 12:00:00,CCT_3,2.25,22.26,2,,,,
2020-09-23 12:00:00,CCT_3,2,30.4,3,,,,
2020-09-23 12:00:00,TCT_1,8,5.48,1,,,,
2020-09-23 12:00:00,TCT_1,8,5.35,2,,,,
2020-09-23 12:00:00,TCT_1,8,5.32,3,,,,
2020-09-23 12:00:00,TCT_2,7,4.89,1,,,,
2020-09-23 12:00:00,TCT_2,8,5.4,2,,,,
2020-09-23 12:00:00,TCT_2,8.5,5.3,3,,,,
2020-09-23 12:00:00,TCT_3,7,7.98,1,,,,
2020-09-23 12:00:00,TCT_3,8,9.62,2,,,,
2020-09-23 12:00:00,TCT_3,7,8.35,3,,,,
2021-07-13 12:14:00,TCT_1,10,3.81,1,,,,"Most flow from one opening, there was a small amount of unmeasurable flow from one opening"
2021-07-13 12:14:00,TCT_1,11,3.97,2,,,,
2021-07-13 12:14:00,TCT_1,10.5,4.04,3,,,,
2021-07-13 12:14:00,TCT_1,10.5,3.85,4,,,,
