Flowmate_ID,Date,Site,Width_m,WidthInterval_m,Depth_cm,Velocity_ms,Velocity_unit,Depth_m,Discharge,Notes 
FWE,2020-07-15 12:01:00,HPB,0,0.2,0,0,m/s,,,"channel width = 3.5m, lat/long: (37.3646, -79.9732)"
FWE,2020-07-15 12:01:00,HPB,0.2,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,0.4,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,0.6,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,0.8,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,1,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,1.2,0.2,2,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,1.4,0.2,13,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,1.6,0.2,7,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,1.8,0.2,7,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,2,0.2,6,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,2.2,0.2,10,0.01,m/s,,,
FWE,2020-07-15 12:01:00,HPB,2.4,0.2,15,0.02,m/s,,,
FWE,2020-07-15 12:01:00,HPB,2.6,0.2,27,0.01,m/s,,,
FWE,2020-07-15 12:01:00,HPB,2.8,0.2,31,0.01,m/s,,,
FWE,2020-07-15 12:01:00,HPB,3,0.2,10,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,3.2,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,3.4,0.2,0,0,m/s,,,
FWE,2020-07-15 12:01:00,HPB,3.6,0.2,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0,0.1,0,0,m/s,,,"channel width = 3.4m, lat/long: (37.3647, -79.9733)"
FWE,2020-07-22 11:55:00,HPB,0.1,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.2,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.3,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.4,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.5,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.6,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.7,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.8,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,0.9,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.1,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.2,0.1,25,0.01,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.3,0.1,33,0.01,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.4,0.1,27,0.01,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.5,0.1,24,0.01,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.6,0.1,15,0.02,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.7,0.1,3,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.8,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,1.9,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,2,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,2.1,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,2.2,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,2.3,0.1,0,0,m/s,,,
FWE,2020-07-22 11:55:00,HPB,2.4,0.1,0,0,m/s,,,
